Year,Cat_HURDAT,Landfall,Freq,damage,log_damage
1960,3-5,3,3,78305000000,10.89378949
1960,TS-2,3,6,760000000,8.880813592
1961,3-5,2,5,22650000000,10.35506821
1961,TS-2,0,7,0,0
1962,TS-2,2,7,90000000,7.954242509
1963,3-5,0,3,0,0
1963,TS-2,1,7,410000000,8.612783857
1964,3-5,4,5,36210000000,10.55882852
1964,TS-2,1,8,46000000,7.662757832
1965,3-5,1,1,21250000000,10.32735893
1965,TS-2,1,9,700000000,8.84509804
1966,3-5,2,3,1240000000,9.093421685
1966,TS-2,0,14,0,0
1967,3-5,1,1,7010000000,9.845718018
1967,TS-2,0,16,0,0
1968,3-5,0,0,0,0
1968,TS-2,3,13,1291000000,9.110926242
1969,3-5,1,3,28520000000,10.45514952
1969,TS-2,0,20,0,0
1970,3-5,1,2,9050000000,9.956648579
1970,TS-2,0,19,0,0
1971,3-5,1,1,380000000,8.579783597
1971,TS-2,3,21,4380000000,9.641474111
1972,3-5,0,0,0,0
1972,TS-2,2,19,26479000000,10.42290158
1973,3-5,0,1,0,0
1973,TS-2,1,16,480000000,8.681241237
1974,3-5,1,2,1530000000,9.184691431
1974,TS-2,3,18,540000000,8.73239376
1975,3-5,1,3,8500000000,9.929418926
1975,TS-2,0,20,0,0
1976,3-5,1,2,720000000,8.857332496
1976,TS-2,0,19,0,0
1977,TS-2,1,14,88000000,7.944482672
1977,3-5,0,1,0,0
1978,TS-2,1,22,280000000,8.447158031
1978,3-5,0,2,0,0
1979,3-5,2,2,21010000000,10.32242605
1979,TS-2,3,18,2220000000,9.346352974
1980,3-5,1,2,3040000000,9.482873584
1980,TS-2,0,16,0,0
1981,TS-2,1,19,210000000,8.322219295
1981,3-5,0,3,0,0
1982,TS-2,3,7,171000000,8.23299611
1982,3-5,0,1,0,0
1983,3-5,1,1,22330000000,10.34888872
1983,TS-2,0,5,0,0
1984,3-5,1,1,620000000,8.792391689
1984,TS-2,1,19,8000000,6.903089987
1985,3-5,3,3,11080000000,10.04453976
1985,TS-2,3,11,6530000000,9.814913181
1986,3-5,0,0,0,0
1986,TS-2,2,10,86000000,7.934498451
1987,TS-2,3,13,81000000,7.908485019
1987,3-5,0,1,0,0
1988,3-5,1,3,290000000,8.462397998
1988,TS-2,4,16,24000000,7.380211242
1989,3-5,1,2,27430000000,10.43822581
1989,TS-2,3,13,3420000000,9.534026106
1990,3-5,0,1,0,0
1990,TS-2,1,15,290000000,8.462397998
1991,3-5,1,2,4690000000,9.671172843
1991,TS-2,0,10,0,0
1992,3-5,2,2,90250000000,10.95544721
1992,TS-2,0,9,0,0
1993,3-5,1,1,130000000,8.113943352
1993,TS-2,1,9,60000000,7.77815125
1994,TS-2,3,12,4020000000,9.604226053
1994,3-5,0,0,0,0
1995,3-5,1,5,16510000000,10.21774707
1995,TS-2,5,17,2399000000,9.380030248
1996,3-5,2,6,19950000000,10.2999429
1996,TS-2,1,7,610000000,8.785329835
1997,3-5,0,1,0,0
1997,TS-2,1,8,270000000,8.431363764
1998,3-5,3,3,7420000000,9.870403905
1998,TS-2,3,11,1430000000,9.155336037
1999,3-5,2,5,16150000000,10.20817253
1999,TS-2,3,11,2367000000,9.374198258
2000,3-5,0,3,0,0
2000,TS-2,2,16,67000000,7.826074803
2001,3-5,0,4,0,0
2001,TS-2,3,13,22337000000,10.34902484
2002,3-5,2,2,2240000000,9.350248018
2002,TS-2,4,12,57000000,7.755874856
2003,TS-2,2,18,425000000,8.62838893
2003,3-5,1,3,11010000000,10.04178732
2004,3-5,6,7,1.10887E+11,11.04488063
2004,TS-2,1,10,240000000,8.380211242
2005,TS-2,2,24,550000000,8.740362689
2005,3-5,4,7,2.0869E+11,11.31950164
2006,3-5,0,2,0,0
2006,TS-2,1,8,740000000,8.86923172
2007,3-5,0,2,0,0
2007,TS-2,1,15,63000000,7.799340549
2008,3-5,2,5,52160000000,10.71733758
2008,TS-2,3,12,3040000000,9.482873584
2009,3-5,0,2,0,0
2009,TS-2,0,9,0,0
2010,3-5,1,5,22000000,7.342422681
2010,TS-2,2,16,385000000,8.58546073
2011,3-5,1,4,17160000000,10.23451728
2011,TS-2,0,16,0,0
2012,TS-2,1,17,3430000000,9.53529412
2012,3-5,1,2,80090000000,10.90357829
2013,TS-2,0,15,0,0
2014,3-5,0,2,0,0
2014,TS-2,1,7,7000000,6.84509804
2015,3-5,0,2,0,0
2015,TS-2,0,10,0,0
2016,3-5,1,4,11260000000,10.05153839
2016,TS-2,1,12,610000000,8.785329835
2017,3-5,2,6,1.8566E+11,11.26871835
2017,TS-2,1,12,230000000,8.361727836
2018,3-5,2,2,34963802000,10.54361865
2018,TS-2,1,14,145683000,8.163408876
2019,3-5,1,3,1831544000,9.262817356
2019,TS-2,2,17,4693331000,9.671481184
2020,TS-2,4,24,14162842000,10.15115041
2020,3-5,4,7,23633006000,10.37351897
2021,TS-2,4,17,4374113000,9.640889998
2021,3-5,1,4,70201819000,10.84634837
2022,3-5,1,3,1E+11,11
2022,TS-2,1,13,1000000000,9